id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
318235,AD-0001,heliport,Terra Guindaldes Heliport,42.546257,1.51916,,EU,AD,AD-04,La Massana,no,,,,,,,
338490,AD-0002,closed,Arinsal (Coll de la Botella) Heliport,42.544983,1.452258,,EU,AD,AD-04,La Massana,no,,,,,,,
41841,AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,3450,EU,AD,AD-08,Escaldes-Engordany,no,,,,,,http://pl.wikipedia.org/wiki/Heliport_Andorra_la_Vella,
300646,AEI,heliport,Algeciras Heliport,36.12882,-5.441079,98,EU,ES,ES-AN,Algeciras,yes,,,LEAG,,https://www.aena.es/en/algeciras.html,https://en.wikipedia.org/wiki/Algeciras_Heliport,
35356,AL-0001,heliport,Lapraka Heliport,41.330782,19.795152,297,EU,AL,AL-11,Tirana,no,,,,,,https://en.wikipedia.org/wiki/Lapraka_Airfield,"Lapraka Airfield, Tirana Aerodrome, OOH, ZOOH"
325354,AL-0003,closed,Vlora International Airport (construction),40.605367,19.426095,8,EU,AL,AL-12,Akerni,no,,,,,,https://en.wikipedia.org/wiki/Vlora_International_Airport,"Pish Poro, Mifol Air Base, LAVL, VLO"
340588,AL-0004,heliport,Mother Teresa Hospital Heliport,41.339303,19.830489,420,EU,AL,AL-11,Tirana,no,,,,,,,
340589,AL-0005,heliport,University Trauma Hospital Heliport,41.342857,19.793764,295,EU,AL,AL-11,Tirana,no,,,,,,,
349286,AL-0006,heliport,Pogradec Heliport,40.90539,20.65453,2277,EU,AL,AL-06,Pogradec,no,,,,,,,
349287,AL-0007,heliport,Viva Heliport Baldushk,41.23048,19.80107,436,EU,AL,AL-11,Balshaban,no,,,LABK,,,,
349288,AL-0008,heliport,Farkë Helicopter Base,41.31554,19.88554,801,EU,AL,AL-11,Farkë,no,,,,,,,
349289,AL-0009,heliport,Puka Heliport,42.0417,19.86158,2484,EU,AL,AL-10,Puka,no,,,,,,,
514574,AL-0010,closed,Korçë Teni Konomi City Hospital Heliport,40.6114,20.7852,2939,EU,AL,AL-06,Korçë,no,,,,,,,
515902,AL-0011,heliport,Berat Regional Hospital Heliport,40.70228,19.96852,228,EU,AL,AL-01,Berat,no,,,,,,,
5,AL-0012,closed,Gjirokastër Airfield,40.085383,20.15389,666,EU,AL,AL-05,Gjirokastër,no,,,,,,https://en.wikipedia.org/wiki/Gjirokastër_Airfield,"LA10, LAGK, AL-LA10"
3969,AL-0013,closed,Gjadër Air Base,41.895199,19.5987,23,EU,AL,AL-08,Gjadër,no,,,,,,https://en.wikipedia.org/wiki/Gjad%C3%ABr_Air_Base,"Lezhë-Zadrima Air Base, LAGJ"
3970,AL-0014,closed,Korçë Airfield,40.651741,20.741715,665,EU,AL,AL-06,Qendër Bulgarec,no,,,,,,https://en.wikipedia.org/wiki/Kor%C3%A7%C3%AB_Airfield,"LAKO, Korçë Northwest, Lumalas"
3973,AL-0015,closed,Vlorë Air Base,40.476101,19.474199,3,EU,AL,AL-12,Vlorë,no,,,,,,,"Vlora Air Base, LAVL"
324078,AL-0016,closed,Shkodër Airport,42.089361,19.509111,,EU,AL,AL-10,Shkodër,no,,,,,,,"LASK, LASK"
341255,AL-0017,closed,Sarandë Airfield,39.876113,20.037663,,EU,AL,AL-12,Sarandë,no,,,,,,https://en.wikipedia.org/wiki/Sarand%C3%AB_Airfield,LASR
594441,AL-0018,closed,Shijak Airfield,41.33102,19.54983,72,EU,AL,AL-02,Shijak,no,,,,,,,
43818,AT-0001,heliport,Pöchlarn-Wörth Heliport,48.214386,15.255579,709,EU,AT,AT-3,Pöchlarn-Wörth,no,LOAL,,LOAL,,,,
46529,AT-0002,seaplane_base,Scalaria Airchallenge Water Landing Area,47.734705433100004,13.4438323975,,EU,AT,AT-4,Lake Wolfgang,no,,,,,http://www.airchallenge.scalaria.com/,,
312150,AT-0003,heliport,Bad Tatzmannsdorf PVA Hospital Helipad,47.33072,16.22207,1247,EU,AT,AT-1,Bad Tatzmannsdorf,no,,,,,,,
312153,AT-0004,heliport,Güssing Hospital Helipad,47.04977,16.3217,731,EU,AT,AT-1,Güssing,no,,,,,,,
320904,AT-0005,closed,Retzer Land Heliport,48.75447,15.962132,781,EU,AT,AT-3,Retz,no,,,,,,https://en.wikipedia.org/wiki/Retzer_Land_Heliport,LOAR
329106,AT-0006,heliport,Nenzing ÖAMTC Heliport,47.208934,9.659745,1624,EU,AT,AT-8,Frastanz,no,,,LOJN,,,,Christophorus 8
329108,AT-0007,heliport,Ybbsitz ÖAMTC Heliport,47.969106,14.939405,2000,EU,AT,AT-3,Haselgraben,no,,,LOLY,,,,Christophorus 15
329312,AT-0008,heliport,Gmünd Heliport,48.78522,14.974763,1594,EU,AT,AT-3,Gmünd,no,,,LOBG,,,,
334039,AT-0009,small_airport,Ameis Airstrip,48.657837,16.540234,,EU,AT,AT-3,Ameis,no,,,,,,,
349033,AT-0010,closed,Radochen Airstrip,46.76296,15.90426,,EU,AT,AT-6,,no,,,,,,,
509527,AT-0011,small_airport,Herrnbaumgarten Airstrip,48.6976,16.6598,955,EU,AT,AT-3,Poysdorf,no,,,,,,,Kleinflugplatz Hermbaumgarten/Poysdorf
514007,AT-0013,closed,Rinnsaal Airfield,47.47909,9.60508,1316,EU,AT,AT-8,Höchst,no,,,,,,,
514024,AT-0014,closed,Strasshof Airfield,48.30172,16.61866,535,EU,AT,AT-3,Strasshof an der Nordbahn,no,,,,,,,Deutsch-Wagram Air Base
514626,AT-0015,heliport,Lech / Zürs Heliport,47.184186,10.157166,5361,EU,AT,AT-8,Lech,no,,,LOJW,,,,"Flexenpass, Gallus 1, Lech am Arlberg, LOZR"
514631,AT-0016,heliport,Ehrwald Red Cross Emergency Helipad,47.40553,10.91682,3188,EU,AT,AT-8,Ehrwald,no,,,,,,,
514691,AT-0017,small_airport,Kottingneusiedl Airfield,48.69335,16.46472,643,EU,AT,AT-3,Laa an der Thaya,no,,,,,,,
514799,AT-0018,heliport,Meidling Accident Hospital Heliport,48.17287,16.34463,745,EU,AT,AT-9,Wien,no,,,LOBU,LOBU,,,
514801,AT-0019,heliport,Vienna State Police Directorate Heliport,48.21528,16.36419,,EU,AT,AT-9,Wien,no,,,,,,,
514803,AT-0020,heliport,Federal Criminal Police Office Heliport,48.23442,16.35713,,EU,AT,AT-9,Wien,no,,,,,,,
514804,AT-0021,heliport,Floridsdorf Hospital Heliport,48.26766,16.405914,,EU,AT,AT-9,Wien,no,,,LOBB,LOBB,,,
515016,AT-0022,heliport,Breitenbrunn Heliport,47.94516,16.72973,502,EU,AT,AT-1,Breitenbrunn am Neusiedler See,no,,,,,,,
515409,AT-0023,heliport,Leoben Hospital Heliport,47.38066,15.08471,1911,EU,AT,AT-3,Leoben,no,,,LODA,,,,
515746,AT-0024,small_airport,Tandem Airlebnis Paraglider Field,48.61453,15.40598,1762,EU,AT,AT-3,Franzen,no,,,,,,,
517300,AT-0025,small_airport,Flugplatz Usting,48.31459,13.71796,1263,EU,AT,AT-4,Usting,no,,,,,,,
534190,AT-0026,heliport,Carinthian State Fire Brigade Association Heliport,46.61925,14.34095,1430,EU,AT,AT-2,Klagenfurt am Wörthersee,no,,,,,,,
534191,AT-0027,heliport,Klagenfurt Fire Department Heliport,46.62137,14.29898,1480,EU,AT,AT-2,Klagenfurt am Wörthersee,no,,,,,,,
534596,AT-0028,heliport,Wiesing Highway Patrol Heliport,47.4013,11.80198,1774,EU,AT,AT-7,Wiesing,no,,,,,,,
554776,AT-0029,small_airport,Ossiacher See Paraglider Landing Field,46.65278,13.89145,1647,EU,AT,AT-2,Treffen am Ossiacher See,no,,,,,,,
28129,AT-0030,closed,Aspern Airfield,48.2244,16.5082,516,EU,AT,AT-9,Vienna,no,,,,,,https://en.wikipedia.org/wiki/Aspern,"LOAM, VIE, X-VIE"
30069,AT-0031,closed,Leopoldsdorf im Marchfelde Airfield,48.2267,16.672199,486,EU,AT,AT-3,Leopoldsdorf im Marchfelde,no,,,,,,,LOAL
31839,AT-0032,closed,Trausdorf Airport,47.798024,16.558172,525,EU,AT,AT-1,Trausdorf an der Wulka,no,,,,,,https://en.wikipedia.org/wiki/Trausdorf_Airport,"LOAT, LOAT"
43803,AT-0033,closed,Carinthia State Police Directorate Heliport,46.620018,14.307845,1532,EU,AT,AT-2,Klagenfurt am Wörthersee,no,,,,,,,"Landespolizeikommando Kärnten, LOKY"
